,Gender,Height,Weight
5000,Female,58.9107320370127,102.08832636784
5001,Female,65.2300125077128,141.30582260142
5002,Female,63.3690037584139,131.041402692995
5003,Female,64.4799974256081,128.171511221632
5004,Female,61.7930961472815,129.781407047572
5005,Female,65.9680189539591,156.802082613991
5006,Female,62.8503786429821,114.969038250962
5007,Female,65.6521564350254,165.083001212576
5008,Female,61.8902337378544,111.676199211845
5009,Female,63.6778681520585,104.151559641935
5010,Female,68.1011722359871,166.575660760601
5011,Female,61.7988785298549,106.233686988457
5012,Female,63.3714589617276,128.118169123676
5013,Female,58.8958863500041,101.682613361014
5014,Female,58.4382490995692,98.1926209281421
5015,Female,60.809798678611,126.915463276282
5016,Female,70.1286528332314,151.254270351714
5017,Female,62.2574296463807,115.79739340816
5018,Female,61.7350902197,107.866872355221
5019,Female,63.0595566947049,145.589929145704
5020,Female,62.2868383725748,139.522707668371
5021,Female,61.8274775548724,122.766166670135
5022,Female,66.3475372155375,157.380964816028
5023,Female,65.3206320269197,145.037375621008
5024,Female,66.1038727954936,148.645182574529
5025,Female,64.5271820296461,132.680868243034
5026,Female,56.5479749809036,84.8721236452797
5027,Female,62.7392809291012,138.530421130127
5028,Female,61.585198645852,137.425286781889
5029,Female,62.0244248323023,124.603940620149
5030,Female,65.3113341377437,140.266700393455
5031,Female,61.2049560689218,108.290104228827
5032,Female,67.025093515345,150.219175933031
5033,Female,60.2111665623754,119.037534152405
5034,Female,63.9399727739834,139.49595733599
5035,Female,63.3578051598708,125.613238151682
5036,Female,63.685068445343,132.282977854988
5037,Female,60.2888703924791,130.440809040632
5038,Female,63.4072897919724,128.848389435403
5039,Female,60.6316001185165,109.719696252994
5040,Female,67.3735965886919,146.023295039745
5041,Female,66.8727415972973,158.855194208793
5042,Female,60.0471472234037,114.603525896347
5043,Female,64.1544722687217,133.138355593842
5044,Female,63.4616648933184,128.950960852672
5045,Female,67.2438679477325,154.061574837338
5046,Female,66.2135945099311,139.001133618245
5047,Female,64.6928213839027,138.680813564999
5048,Female,66.1992832819946,180.69831709888
5049,Female,65.853375824511,149.11852839278
5050,Female,65.0495202214884,145.073538581697
5051,Female,64.477615149807,144.638245692437
5052,Female,62.5400773193173,139.478643930727
5053,Female,61.59623161922,129.977149249753
5054,Female,60.9503289147806,117.422588668035
5055,Female,63.5532238018192,137.492070428581
5056,Female,62.2483463509287,138.382413290926
5057,Female,66.190590843343,141.271956088319
5058,Female,62.5480579760466,123.712853940157
5059,Female,66.6298343220198,145.594711615587
5060,Female,59.6085601361981,109.813156032597
5061,Female,64.493394759493,159.456065776193
5062,Female,64.9365559015708,152.419352004462
5063,Female,61.3792584854039,141.427450563345
5064,Female,66.0707872085545,147.752330110449
5065,Female,63.914431661526,131.513704638389
5066,Female,69.6198060242191,157.023733848368
5067,Female,67.1815358769843,156.950847065556
5068,Female,63.3990508337142,143.840429687839
5069,Female,61.2131714955926,98.7074925949256
5070,Female,59.6678488000619,126.355255679648
5071,Female,64.0894064651938,134.211017209693
5072,Female,60.5780628792393,118.242811799265
5073,Female,62.114866399197,145.337359446736
5074,Female,56.1594580191187,90.8152556552271
5075,Female,67.449272973975,170.830353595279
5076,Female,65.0651446274894,156.163126863795
